k,delta_phi_deg,freq_ratio_0.14285714_times_2powk,radius_ratio_2powk_over_3
0,8,0.14285714285714285,1.0
1,16,0.2857142857142857,1.2599210498948732
2,32,0.5714285714285714,1.5874010519681994
3,64,1.1428571428571428,2.0
4,128,2.2857142857142856,2.519842099789746
5,256,4.571428571428571,3.1748021039363987
6,152,9.142857142857142,4.0
7,304,18.285714285714285,5.039684199579493
8,248,36.57142857142857,6.349604207872797
9,136,73.14285714285714,8.0
10,272,146.28571428571428,10.079368399158986
11,184,292.57142857142856,12.699208415745593
