n,mod_19,mod_29
2,2,2
3,3,3
5,5,5
7,7,7
11,11,11
13,13,13
17,17,17
19,0,19
23,4,23
29,10,0
31,12,2
37,18,8
41,3,12
43,5,14
47,9,18
53,15,24
59,2,1
61,4,3
67,10,9
71,14,13
73,16,15
79,3,21
83,7,25
89,13,2
97,2,10
101,6,14
103,8,16
107,12,20
109,14,22
113,18,26
127,13,11
131,17,15
137,4,21
139,6,23
149,16,4
151,18,6
157,5,12
163,11,18
167,15,22
173,2,28
179,8,5
181,10,7
191,1,17
193,3,19
197,7,23
199,9,25
211,2,8
223,14,20
227,18,24
229,1,26
233,5,1
239,11,7
241,13,9
251,4,19
257,10,25
263,16,2
269,3,8
271,5,10
277,11,16
281,15,20
283,17,22
293,8,3
307,3,17
311,7,21
313,9,23
317,13,27
331,8,12
337,14,18
347,5,28
349,7,1
353,11,5
359,17,11
367,6,19
373,12,25
379,18,2
383,3,6
389,9,12
397,17,20
401,2,24
409,10,3
419,1,13
421,3,15
431,13,25
433,15,27
439,2,4
443,6,8
449,12,14
457,1,22
461,5,26
463,7,28
467,11,3
479,4,15
487,12,23
491,16,27
499,5,6
503,9,10
509,15,16
521,8,28
523,10,1
541,9,19
547,15,25
557,6,6
563,12,12
569,18,18
571,1,20
577,7,26
587,17,7
593,4,13
599,10,19
601,12,21
607,18,27
613,5,4
617,9,8
619,11,10
631,4,22
641,14,3
643,16,5
647,1,9
653,7,15
659,13,21
661,15,23
673,8,6
677,12,10
683,18,16
691,7,24
701,17,5
709,6,13
719,16,23
727,5,2
733,11,8
739,17,14
743,2,18
751,10,26
757,16,3
761,1,7
769,9,15
773,13,19
787,8,4
797,18,14
809,11,26
811,13,28
821,4,9
823,6,11
827,10,15
829,12,17
839,3,27
853,17,12
857,2,16
859,4,18
863,8,22
877,3,7
881,7,11
883,9,13
887,13,17
907,14,8
911,18,12
919,7,20
929,17,1
937,6,9
941,10,13
947,16,19
953,3,25
967,17,10
971,2,14
977,8,20
983,14,26
991,3,5
997,9,11
1009,2,23
1013,6,27
1019,12,4
1021,14,6
1031,5,16
1033,7,18
1039,13,24
1049,4,5
1051,6,7
1061,16,17
1063,18,19
1069,5,25
1087,4,14
1091,8,18
