octave,pos_in_octave,prime,delta_prev,base20,mod_20,mod_64,mod_432,prime/_32,prime/_137,prime/_432,prime/_617,prime/_751,prime/_1152
0,1,13,,0:0:D,13,13,13,0.40625,0.0948905109489051,0.03009259259259259,0.02106969205834684,0.017310252996005325,0.011284722222222222
0,2,41,28.0,0:2:1,1,41,41,1.28125,0.29927007299270075,0.09490740740740741,0.06645056726094004,0.05459387483355526,0.035590277777777776
0,3,137,96.0,0:6:H,17,9,137,4.28125,1.0,0.31712962962962965,0.22204213938411668,0.18242343541944075,0.1189236111111111
0,4,241,104.0,0:C:1,1,49,241,7.53125,1.7591240875912408,0.5578703703703703,0.3905996758508914,0.3209054593874834,0.2092013888888889
0,5,367,126.0,0:I:7,7,47,367,11.46875,2.678832116788321,0.8495370370370371,0.5948136142625607,0.48868175765645805,0.3185763888888889
0,6,487,120.0,1:4:7,7,39,55,15.21875,3.5547445255474455,1.1273148148148149,0.7893030794165316,0.6484687083888149,0.4227430555555556
0,7,617,130.0,1:A:H,17,41,185,19.28125,4.5036496350364965,1.4282407407407407,1.0,0.8215712383488681,0.5355902777777778
0,8,751,134.0,1:H:B,11,47,319,23.46875,5.481751824817518,1.7384259259259258,1.2171799027552674,1.0,0.6519097222222222
1,1,757,,1:H:H,17,53,325,23.65625,5.525547445255475,1.7523148148148149,1.2269043760129659,1.007989347536618,0.6571180555555556
1,2,761,4.0,1:I:1,1,57,329,23.78125,5.554744525547445,1.7615740740740742,1.233387358184765,1.0133155792276964,0.6605902777777778
1,3,769,8.0,1:I:9,9,1,337,24.03125,5.613138686131387,1.7800925925925926,1.246353322528363,1.0239680426098536,0.6675347222222222
1,4,773,4.0,1:I:D,13,5,341,24.15625,5.642335766423358,1.7893518518518519,1.252836304700162,1.0292942743009321,0.6710069444444444
1,5,787,14.0,1:J:7,7,19,355,24.59375,5.744525547445256,1.8217592592592593,1.2755267423014587,1.047936085219707,0.6831597222222222
1,6,797,10.0,1:J:H,17,29,365,24.90625,5.817518248175182,1.8449074074074074,1.2917341977309562,1.0612516644474035,0.6918402777777778
1,7,809,12.0,2:0:9,9,41,377,25.28125,5.905109489051095,1.8726851851851851,1.3111831442463533,1.0772303595206392,0.7022569444444444
1,8,811,2.0,2:0:B,11,43,379,25.34375,5.91970802919708,1.8773148148148149,1.3144246353322528,1.0798934753661784,0.7039930555555556
2,1,821,,2:1:1,1,53,389,25.65625,5.992700729927007,1.900462962962963,1.3306320907617504,1.0932090545938749,0.7126736111111112
2,2,823,2.0,2:1:3,3,55,391,25.71875,6.007299270072993,1.9050925925925926,1.33387358184765,1.095872170439414,0.7144097222222222
2,3,827,4.0,2:1:7,7,59,395,25.84375,6.036496350364963,1.9143518518518519,1.340356564019449,1.1011984021304926,0.7178819444444444
2,4,829,2.0,2:1:9,9,61,397,25.90625,6.0510948905109485,1.9189814814814814,1.3435980551053484,1.103861517976032,0.7196180555555556
2,5,839,10.0,2:1:J,19,7,407,26.21875,6.124087591240876,1.9421296296296295,1.359805510534846,1.1171770972037283,0.7282986111111112
2,6,853,14.0,2:2:D,13,21,421,26.65625,6.226277372262774,1.974537037037037,1.3824959481361425,1.1358189081225034,0.7404513888888888
2,7,857,4.0,2:2:H,17,25,425,26.78125,6.255474452554744,1.9837962962962963,1.3889789303079416,1.141145139813582,0.7439236111111112
2,8,859,2.0,2:2:J,19,27,427,26.84375,6.2700729927007295,1.9884259259259258,1.3922204213938412,1.1438082556591211,0.7456597222222222
3,1,863,,2:3:3,3,31,431,26.96875,6.299270072992701,1.9976851851851851,1.3987034035656403,1.1491344873501996,0.7491319444444444
3,2,877,14.0,2:3:H,17,45,13,27.40625,6.401459854014599,2.0300925925925926,1.421393841166937,1.1677762982689748,0.7612847222222222
3,3,881,4.0,2:4:1,1,49,17,27.53125,6.430656934306569,2.0393518518518516,1.4278768233387358,1.1731025299600533,0.7647569444444444
3,4,883,2.0,2:4:3,3,51,19,27.59375,6.445255474452555,2.0439814814814814,1.4311183144246353,1.1757656458055925,0.7664930555555556
3,5,887,4.0,2:4:7,7,55,23,27.71875,6.474452554744525,2.053240740740741,1.4376012965964344,1.181091877496671,0.7699652777777778
3,6,907,20.0,2:5:7,7,11,43,28.34375,6.62043795620438,2.099537037037037,1.4700162074554295,1.2077230359520639,0.7873263888888888
3,7,911,4.0,2:5:B,11,15,47,28.46875,6.649635036496351,2.1087962962962963,1.4764991896272286,1.2130492676431426,0.7907986111111112
3,8,919,8.0,2:5:J,19,23,55,28.71875,6.708029197080292,2.127314814814815,1.4894651539708266,1.2237017310252996,0.7977430555555556
